PA14_RS02695	440
PA14_RS02700	61
PA14_RS02705	93
PA14_RS02710	2436
PA14_RS02715	64
PA14_RS02720	13
PA14_RS02725	1
PA14_RS02730	65
PA14_RS02735	157
PA14_RS02740	202
PA14_RS02745	130
PA14_RS02750	35
PA14_RS02755	13
PA14_RS02760	161
PA14_RS02765	2
PA14_RS02770	66
PA14_RS02775	51
PA14_RS31340	0
PA14_RS02785	101
PA14_RS02790	39
PA14_RS02795	26
PA14_RS02800	179
PA14_RS02805	153
PA14_RS02810	63
PA14_RS02815	18
PA14_RS02820	14
PA14_RS02825	92
PA14_RS02830	76
PA14_RS02835	22
PA14_RS02840	46
PA14_RS02845	104
PA14_RS02850	628
PA14_RS02855	597
PA14_RS02860	641
PA14_RS02865	118
PA14_RS02870	16
PA14_RS02875	162
PA14_RS02880	156
PA14_RS02885	22
PA14_RS02890	322
PA14_RS02895	1010
PA14_RS02900	155
PA14_RS31345	11
PA14_RS02910	56
PA14_RS02915	71
PA14_RS02920	76
PA14_RS02925	131
PA14_RS02930	150
PA14_RS02935	1745
PA14_RS02940	58
PA14_RS02945	33
PA14_RS02950	65
PA14_RS02955	80
PA14_RS02960	19
PA14_RS02965	8
PA14_RS02970	8
PA14_RS02975	33
PA14_RS02980	90
PA14_RS31350	5
PA14_RS02985	73
PA14_RS02990	163
PA14_RS30070	175
PA14_RS02995	729
PA14_RS03000	1771
PA14_RS03005	184
PA14_RS03010	4032
PA14_RS03015	866
PA14_RS03020	754
PA14_RS03025	3034
PA14_RS03030	340
PA14_RS03035	154
PA14_RS03040	29
PA14_RS03045	112
PA14_RS03050	99
PA14_RS03055	8
PA14_RS03060	167
PA14_RS03065	116
PA14_RS03070	671
PA14_RS03075	126
PA14_RS03080	191
PA14_RS03085	133
PA14_RS03090	284
PA14_RS03095	242
PA14_RS03100	680
PA14_RS03105	2491
PA14_RS03110	87
PA14_RS03115	41
PA14_RS03120	47
PA14_RS03125	54
PA14_RS03130	112
PA14_RS03135	44
PA14_RS03140	62
PA14_RS03145	117
PA14_RS03150	71
PA14_RS03155	27
PA14_RS03160	23
PA14_RS03165	108
PA14_RS03170	189
PA14_RS03175	372
PA14_RS03180	1624
PA14_RS03185	1138
PA14_RS03190	2740
PA14_RS03195	14035
PA14_RS03200	2103
PA14_RS03205	2620
PA14_RS03210	3074
PA14_RS03215	2078
PA14_RS03220	3960
PA14_RS03225	1582
PA14_RS03230	13832
PA14_RS03235	1846
PA14_RS03240	12123
PA14_RS03245	1951
PA14_RS03250	3099
PA14_RS03255	12330
PA14_RS03260	4029
PA14_RS03265	612
PA14_RS03270	2198
PA14_RS03275	647
PA14_RS03280	452
PA14_RS30075	928
PA14_RS03290	6752
PA14_RS03295	2125
PA14_RS03300	6244
PA14_RS03305	9931
PA14_RS03310	560
PA14_RS03315	1743
PA14_RS03320	2558
PA14_RS03325	2353
PA14_RS03330	14301
PA14_RS31185	4517
PA14_RS03335	5277
PA14_RS03340	1483
PA14_RS03345	3092
PA14_RS03350	1061
PA14_RS03355	818
PA14_RS03360	769
PA14_RS03365	928
PA14_RS03370	269
PA14_RS03375	660
PA14_RS03380	156
PA14_RS03385	7
PA14_RS03390	343
PA14_RS03395	160
PA14_RS03400	301
PA14_RS03405	121
PA14_RS03410	43
PA14_RS03415	182
PA14_RS03420	131
PA14_RS03425	49
PA14_RS03430	306
PA14_RS03435	125
PA14_RS03440	423
PA14_RS03445	974
PA14_RS03450	307
PA14_RS03455	0
PA14_RS03460	2
PA14_RS03465	6
PA14_RS03470	228
PA14_RS03475	283
PA14_RS03480	226
PA14_RS03485	157
PA14_RS03490	1598
PA14_RS03495	993
PA14_RS03500	667
PA14_RS03505	3966
PA14_RS03510	103
PA14_RS03515	1135
PA14_RS03520	3894
PA14_RS03525	2137
PA14_RS03530	3357
PA14_RS03535	3900
PA14_RS03540	6329
PA14_RS03545	8489
PA14_RS03550	5378
PA14_RS03555	2124
PA14_RS03560	1630
PA14_RS03565	6401
PA14_RS03570	2458
PA14_RS03575	1012
PA14_RS03580	2742
PA14_RS03585	1654
PA14_RS03590	332
PA14_RS03595	1859
PA14_RS03600	237
PA14_RS03605	495
PA14_RS03610	2018
PA14_RS03615	526
PA14_RS03620	19
PA14_RS03625	309
PA14_RS03630	469
PA14_RS03635	562
PA14_RS03640	1594
PA14_RS03645	2337
PA14_RS03650	2021
PA14_RS03655	2645
PA14_RS03660	648
PA14_RS03665	1220
PA14_RS03670	43
