	GSM7985465_water_r1	GSM7985466_water_r2	GSM7985467_water_r3	GSM7985294_cip_0p78uM_r1	GSM7985295_cip_0p78uM_r2	GSM7985296_cip_0p78uM_r3	GSM7985297_cip_1p56uM_r1	GSM7985298_cip_1p56uM_r2	GSM7985299_cip_1p56uM_r3
PA14_RS27030	151.968214757601	162.362528263833	174.22995712657	190.506139525553	175.909367183762	161.601475930407	173.263790404868	160.591073237033	126.160196341346
PA14_RS27035	251.133914218069	328.005107603702	355.292461591438	353.23013370363	378.166392888439	357.543265496026	302.73563378433	402.50711304923	370.94863700366
PA14_RS27040	186.740602880103	246.823843471786	233.160677919381	219.280504349725	265.801378608063	298.962730471253	277.348997827572	289.269817817988	323.873936876292
PA14_RS27045	213.785793642048	261.584073313953	312.589040727082	321.479110449371	344.069423037842	361.583302394286	370.644884968655	374.712504219743	370.94863700366
PA14_RS27050	1065.06536952996	865.113471304765	806.240585919031	1187.68671360462	1162.39669945217	1097.8800271022	1159.53459732488	1201.3447594078	1045.05834282757
PA14_RS27055	217.649392322326	247.643856240795	234.868814753955	310.564696205719	260.376860677286	345.423154801246	300.196970188654	312.946706820884	293.746128794777
PA14_RS27060	1929.22360768547	1239.85930674199	1742.2995712657	1981.46229496109	2092.31405901391	2063.44884578639	2754.45000130816	2700.19477628678	2775.52431950962
PA14_RS27065	1459.15243491832	1046.33629325581	1275.12414700965	1568.69899265573	1439.04711392179	1578.64441799517	1422.28627947732	1353.70039299165	1487.56052402483
PA14_RS27070	699.311361130315	559.248708464312	608.096713108422	850.332091528119	711.386780064728	733.266697034223	767.945737691905	705.159520303637	625.152017691448
PA14_RS27075	166.134743251953	143.50223457662	163.981136119125	201.420553769205	172.809642651889	172.711577400623	233.557050802166	211.033141112767	169.468920458525
PA14_RS27080	74.696241152041	50.8407916785738	124.693988923918	105.175264529732	92.9917359561736	93.9308578845492	72.9865783756769	90.5898361849928	94.1494002547361
PA14_RS27085	66.9690437914851	41.0006384504628	49.5359682026523	46.6343154046927	62.7694217704172	42.4203874317319	42.5226152275683	39.1183383526105	30.1278080815155
